[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:37,619 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1352 ms
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:38,347 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:38,430 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:38,641 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:38,686 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8083"]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:38,706 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8083 (http) with context path ''
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:38,708 INFO [main][StartupInfoLogger.java:59] - Started MamsStudentApplication in 2.9 seconds (JVM running for 4.194)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:39,183 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:39,184 INFO [RMI TCP Connection(2)-192.168.1.106][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:39,184 INFO [RMI TCP Connection(2)-192.168.1.106][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:39,193 INFO [RMI TCP Connection(2)-192.168.1.106][FrameworkServlet.java:546] - Completed initialization in 8 ms
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:39,410 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:06:59,198 WARN [http-nio-8083-exec-2][AbstractHandlerExceptionResolver.java:197] - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize instance of `java.util.ArrayList` out of START_OBJECT token; nested exception is com.fasterxml.jackson.databind.exc.MismatchedInputException: Cannot deserialize instance of `java.util.ArrayList` out of START_OBJECT token
 at [Source: (PushbackInputStream); line: 1, column: 1]]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:10,107 INFO [main][StartupInfoLogger.java:50] - Starting MamsStudentApplication on DESKTOP-U5SUJ4I with PID 19452 (D:\graduation\mams\mams-student\target\classes started by tcp666 in D:\graduation\mams)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:10,165 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,565 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d456ba2b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,826 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8083 (http)
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,839 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8083"]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,847 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,848 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,855 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,950 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:11,951 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1737 ms
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:12,856 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:12,944 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:13,213 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:13,267 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8083"]
[mams-student][${env:SERVER_PORT}] 2021-05-05 21:11:13,291 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8083 (http) with context path ''
